,text,Preprocessed_text,cluster
355,Excellent,excellent ,Common
356,Excellent app. But sometimes promo code is not working. Plz fix this problem,excellent app code work fix problem ,Common
357,This app is really useful and user friendly. Drivers behaviour also so good. I am using this app more then 1 year. I am happily recommending this app to every one.,app useful user friendly behaviour good year happily ,Common
358,"Tried contacting support on my issue since the app only works once and then stalls and I have to reinstall the app for it to work. Payment structure is flawed. If a card does not work, by default it switched to cash without the option of giving the user to switch.",try support issue app work reinstall payment structure flawed card default switch cash option give user ,Common
359,Useful app,useful app ,Common
360,Great Great meeting people poo I going 3rd=gig gnu in (650,great meeting people go rd gig gnu ,Common
361,"I had a great experience so far but the app always shows my location in a wrong way, and also one of your drivers were very rude and he cancelled the trip before I could report. But mostly the app is great, I'd rate 5 stars if you guys fix the location problem.",great experience far app location wrong way rude trip report rate fix problem ,Common
362,Good,good ,Common
363,Great,great ,Feature Request
364,Excellent,excellent ,Common
365,"I have been using pick me for 1 year but in recent time i update it.now it doesn't work...there is a mesg "" google play store error ""and i cant book a ride...after update the app gone bad",pick year recent time update work play store error not book ride app go bad ,Common
366,This app crashes in my tablet Samsung A10,app tablet ,Common
367,Its the best but its offers do not come always only in seasons,good come ,Common
368,Very good,good ,Common
369,when you add a promo code you dont see the discounted price in pickme food make it correct it is the only issue with this app,add code not price food correct issue app ,Bug_fix
370,"Very very poor service. The app is going crazy would be the right way to say it because even when the driver has cancelled the trip, without even me booking another cab I got calls from several other drivers asking if I booked a cab. That is very annoying especially when the drivers are not cooperating. You either fix the app and get the drivers sorted or freaking remove the damn thing.",poor service app go crazy right way driver trip book cab get annoy especially fix sort remove damn thing ,Bug_fix
371,I just wona know- way sometimes price is going up on end of the trip? I was make booking for 480 rupia but end of the trip price grow 580rupia. Why????? More I use more I upsed!!!! Two drivers didn't come on order. Uber is better,know way price go end trip book rupia grow use come order better ,Bug_fix
372,Hi there,hi ,Bug_fix
373,good,good ,Common
374,Excellent,excellent ,Common
375,Good,good ,Common
376,Like app,like app ,Common
377,"This app used to work okay, but its faulty now. It cannot identify the shortest path and suggest to take longer way even with 0 traffic in both roads. Then charge for the suggested longer path, even if we choose the shorter quick road. Charged me 472 LKR for only 5.5 Km by tuk tuk. It should be around 220 LKR. I requested a refund and received it as Pickme points after few days. The same thing happened again, this time charged 383 LKR for 210 LKR trip. Raised a complaint again.",app work faulty identify path suggest long way traffic charge choose short quick road refund receive day thing time trip raise complaint ,Bug_fix
378,"2019/11/03 - I updated. After that many functions are not working well. Errors are occuring often. Showing wrong location. some time, can't place the order(when I checkout, it is showing - ""hotel is in a long distance. choose near hotel."" but, it is wrong information. some time it is showing- ""we are coming soon to your region"". but, I am in usual place where I use pickme regularly. And , add a button to cancel the order if the order was not accepted by any driver for a long time.",work show wrong location time place order hotel long distance choose near information come soon region usual use regularly add button cancel accept driver ,Feature Request
379,Discount codes doesn't work,discount work ,Common
380,How take bate,bate ,Bug_fix
381,Good,good ,Common
382,Ok,nan,Common
383,"A great app, which offers alot of promotions. 10/10 would recommend this to anyone. Useful at almost everytime. But rarely connects a driver cery far away. But overall it is very useful. Thanks pickme.",great app recommend useful rarely driver far away overall thank ,Common
384,it have bugs in food oder section,food section ,Common
385,GREAT,great ,Feature Request
386,Very interesting ride and very good,interesting ride good ,Common
387,Watapuluwa,nan,Common
388,Pick me.sri lanka,pick sri ,Common
389,I'm,nan,Common
390,Very good,good ,Common
391,Atrocious amateur app. Is this really the best we can do?,atrocious amateur app good ,Common
392,This service is verry bad service. When the trip is short drivers are not getting the trip,service bad trip short get ,Common
393,Good,good ,Common
394,Very Good App,good app ,Common
395,Grt,nan,Common
396,Nice driving by pickme....,nice driving ,Common
397,Good service,good service ,Common
398,Good application..,good application ,Common
399,So useful,useful ,Bug_fix
400,The application is extreamly slow for PickMe foods. I actually went to the collection and brought the food before the app moved to the card page. You guys need to step your game up.....,application slow actually go collection bring food app card page need step game ,Common
401,Good,good ,Common
402,good service,good service ,Common
403,This app is the best app forever,app good forever ,Common
404,Movie,movie ,Bug_fix
405,Drivers are freindlyand vehicles are good,good ,Common
406,I havent experience .but that app is unfriendly.i dont like,not experience app unfriendly like ,Common
407,Good,good ,Common
408,good,good ,Common
409,This app isn't useful at all...The new update is worser.... :-( Btw thanks for the rides I already went!!,app useful new update worser thank go ,Common
410,"Terrible app with worste customer service. Not taking responsibility on their bugs, asking drivers to contact the customers directly. Completed a trip and paid the amount next day after 8 hours, pickme emailing a nother reciept for a higher amount under same reciept number. Driver demands to pay the balance. No response from the company after several complaints (twice over the phone, via app and e-mail) Wasting cx time and risking privacy.",terrible app customer service not take responsibility contact directly trip day nother high number driver pay balance no response company twice phone mail waste time privacy ,Feature Request
411,Good,good ,Common
412,Best ****************************,best ,Common
413,A reality,reality ,Bug_fix
